,term,score_date,score_value
56190,a flu,2017-04-24,44.75326805790346
56191,a flu,2017-04-25,126.9296677875169
56192,a flu,2017-04-26,72.8843527696358
56193,a flu,2017-04-27,101.10916288571865
56194,a flu,2017-04-28,57.06567230620687
56195,a flu,2017-04-29,61.70936805774048
56196,a flu,2017-04-30,122.34973118494558
56197,a flu,2017-05-01,94.60375003448782
56198,a flu,2017-05-02,81.5065148821752
56199,a flu,2017-05-03,98.43407199064715
56200,a flu,2017-05-04,119.99349138549016
56201,a flu,2017-05-05,67.009261594609
56202,a flu,2017-05-06,41.64559444699699
56203,a flu,2017-05-07,112.07492256834414
56204,a flu,2017-05-08,79.96146183082442
56205,a flu,2017-05-09,82.17623608927627
56206,a flu,2017-05-10,95.16079321332592
56207,a flu,2017-05-11,74.84388808765574
56208,a flu,2017-05-12,55.67028942176402
56209,a flu,2017-05-13,72.34179160596729
56210,a flu,2017-05-14,91.02991169493058
57752,a flu,2017-05-15,91.14895322492129
57753,a flu,2017-05-16,131.06591504179138
57754,a flu,2017-05-17,37.24565206522127
57755,a flu,2017-05-18,67.84856268060307
57756,a flu,2017-05-19,39.683951160170096
57757,a flu,2017-05-20,108.47974478453035
57758,a flu,2017-05-21,74.91813236254598
57759,a flu,2017-05-22,76.44493585657126
57760,a flu,2017-05-23,45.85143828532309
57761,a flu,2017-05-24,69.61080526816512
57762,a flu,2017-05-25,62.15560331154593
57763,a flu,2017-05-26,76.57551982323344
57764,a flu,2017-05-27,34.35999705716246
57765,a flu,2017-05-28,34.01346972365713
57766,a flu,2017-05-29,88.96224733565991
57767,a flu,2017-05-30,57.060620615379655
57768,a flu,2017-05-31,116.22255482383636
57769,a flu,2017-06-01,19.846359531375416
57770,a flu,2017-06-02,78.66091186786527
57771,a flu,2017-06-03,54.81445343695383
57772,a flu,2017-06-04,60.7587682058739
57773,a flu,2017-06-05,55.65458754129907
57774,a flu,2017-06-06,54.74028293023311
57775,a flu,2017-06-07,18.783713959759016
57776,a flu,2017-06-08,53.96805333642252
57777,a flu,2017-06-09,36.73476252596918
57778,a flu,2017-06-10,66.10231526410709
57779,a flu,2017-06-11,32.1062779171021
57780,a flu,2017-06-12,83.17111123953048
57781,a flu,2017-06-13,85.86308409588295
57782,a flu,2017-06-14,77.7150196201286
57783,a flu,2017-06-15,29.650423920555298
57784,a flu,2017-06-16,41.01309622635582
57785,a flu,2017-06-17,25.10629861412128
57786,a flu,2017-06-18,83.40739967095246
57787,a flu,2017-06-19,57.27069183460217
57788,a flu,2017-06-20,18.11673169600762
57789,a flu,2017-06-21,27.86500931242891
57790,a flu,2017-06-22,36.73485678034216
57791,a flu,2017-06-23,93.70733709995284
57792,a flu,2017-06-24,32.93951367750869
57793,a flu,2017-06-25,42.29219859783517
57794,a flu,2017-06-26,64.96446691479046
57795,a flu,2017-06-27,28.65625759231752
57796,a flu,2017-06-28,66.8793949317557
57797,a flu,2017-06-29,49.32398168870238
57798,a flu,2017-06-30,91.85257268083367
57799,a flu,2017-07-01,35.042692934189624
57800,a flu,2017-07-02,92.01632230630172
57801,a flu,2017-07-03,85.46813142644406
57802,a flu,2017-07-04,38.18133527252407
57803,a flu,2017-07-05,49.2088316784436
57804,a flu,2017-07-06,68.83142600783876
57805,a flu,2017-07-07,71.01319645240852
57806,a flu,2017-07-08,80.69815828219855
57807,a flu,2017-07-09,87.25228102772512
57808,a flu,2017-07-10,55.54727533719549
57809,a flu,2017-07-11,54.326550221738
57810,a flu,2017-07-12,58.967126725586205
57811,a flu,2017-07-13,29.721122067191548
57812,a flu,2017-07-14,90.63554295941864
57813,a flu,2017-07-15,65.2113104039786
57814,a flu,2017-07-16,75.18476266419226
57815,a flu,2017-07-17,58.48064164865509
57816,a flu,2017-07-18,39.07314741009734
57817,a flu,2017-07-19,113.7660417460222
57818,a flu,2017-07-20,66.78950730358714
59360,a flu,2017-07-21,89.7626249656234
59361,a flu,2017-07-22,65.34268271599076
59362,a flu,2017-07-23,85.16100381845257
59363,a flu,2017-07-24,66.11699130779176
59364,a flu,2017-07-25,97.55662310814516
59365,a flu,2017-07-26,37.19580191082673
59366,a flu,2017-07-27,38.01233710081475
59367,a flu,2017-07-28,49.27646342023412
59368,a flu,2017-07-29,100.40767123017012
59369,a flu,2017-07-30,53.71088213815732
59370,a flu,2017-07-31,76.55376341111251
59371,a flu,2017-08-01,45.97088728480282
59372,a flu,2017-08-02,105.5991220670933
59373,a flu,2017-08-03,65.668992213897
59374,a flu,2017-08-04,60.08680544460593
59375,a flu,2017-08-05,56.06315495640548
59376,a flu,2017-08-06,44.72311923578934
59377,a flu,2017-08-07,81.44289874727106
59378,a flu,2017-08-08,44.96403822689752
59379,a flu,2017-08-09,94.76073611729169
59380,a flu,2017-08-10,90.48886921317325
59381,a flu,2017-08-11,70.51392002839177
59382,a flu,2017-08-12,56.01572621553215
59383,a flu,2017-08-13,113.4640646078072
59384,a flu,2017-08-14,48.252510391710814
59385,a flu,2017-08-15,58.457552648498734
59386,a flu,2017-08-16,48.67690723565581
59387,a flu,2017-08-17,76.66024562754859
59388,a flu,2017-08-18,137.8599480376234
59389,a flu,2017-08-19,66.33501146452164
59390,a flu,2017-08-20,120.1099067985654
59391,a flu,2017-08-21,102.35634341684408
59392,a flu,2017-08-22,66.27164064707644
